ID,词,NUM,chinese_text,图,词性,explain,eng_text,jp_text,ara_text,fr_text,de_text,pt_text,spa_text,ru_text
30,虫,,虫,虫,N,虫,insect,昆虫,حشرة,Insecte,Insekt,inseto,Insectos,насекомое
31,树,1,树,树,N,树,tree,ツリー,شجر,Arbre,Baum,árvore,árbol,дерево
32,植物,,植物,植物,N,"植物 (图解:草→生长,方框→物，箭头→栽种)","plant(GI:Grass → growth, box → object, arrow → planting)",植物 (図注:草→成長、枠→物、矢印→植栽),نبات,Plante,Pflanze,planta,Planta,растение
33,草,1,草,草,N,草,grass,草,عشب,Herbe,Gras,grama,La hierba,трава
34,麦,,麦,麦,N,麦子,wheat,麦,قمح,Blé,Weizen,trigo,Trigo,пшеница
35,腔,1,空腔,腔,N,"腔 (图解:中空,圆角→灵活)","cavity(GI:Hollow, rounded corners → flexible)",キャビティ (図注:中空、フィレット→フレキシブル),تجويف,Cavité,Hohlraum,cavidade,Cavidad,полость
36,鼻子,,鼻子,鼻子,N,鼻子,nose,鼻,أنف,nez,Nase,nariz,nariz,нос
37,耳,,耳,耳,N,耳,ear,耳,أذن,oreille,Ohr,orelha,oreja,ухо
38,骨,,骨,骨,N,骨,bone,骨,عظم,Os,Knochen,osso,Hueso,кость
39,脚,1,腿脚,脚,N,脚 (图解:包含腿和脚掌),foot(GI:Including legs and feet),足 (図注:足と足の裏を含める),قدم,Pied,Fu?,pé,Pie,нога
40,毛,1,毛发,毛,N,毛,hair,毛,شعر,Cheveux,Haar,cabelo,pelo,волосы
41,肉,,肉,肉,N,肉 (图解:平行纹路),meat(GI:Parallel patterns),肉 (図注:へいこうもん),لحم,Viande,Fleisch,carne,Carne,мясо
42,手,,手,手,N,手,hand,手,يد,Main,Hand,m?o,Mano,рука
43,头,1,头部,头,N,头,head,頭部,رأس,Tête,Kopf,Cabe?a,Cabeza,голова
44,细胞,,细胞,细胞,N,细胞 (图解:细胞壁和核),cell(GI:Cell wall and nucleus),細胞 (図注:細胞壁と核),خلية,Cellule,Zelle,célula,Las células,клетка
45,眼,1,眼睛,眼,N,眼,eye,目,عين,?il,Auge,olho,ojo,глаз
46,嘴,,嘴,嘴,N,嘴,mouth,口,فم,bouche,Mund,boca,boca,рот
47,血,,血,血,N,血 (图解:血液循环),blood(GI:blood circulation),血 (図注:血液循環),دم,Sang,Blut,sangue,Sangre,кровь
48,奶,1,奶水,奶,N,奶 (图解:乳房滴奶),milk(GI:Breast drip milk),乳 (図注:乳房から乳が滴る),حليب,Lait,Milch,leite,Leche,молоко
49,果,1,果实,果,N,果,fruit,果実,ثمر,Fruit,Obst,fruta,Fruta,фрукты
50,花,1,花,花,N,花,flower,花,زهر,Fleur,Blume,flor,Flor,цветок
51,种子,,种子,种子,N,种子 (图解:在地面下),seed(GI:Under the ground),シード (図注:地面の下で),بذرة,Seed,Samen,Sementes,Semilla,семя
52,固体,,固体,固体,N,固体 (图解:用两小方块来固定),solid(GI:Fix it with two small squares),固体 (図注:2つの小さな四角で固定する),صلبة,Solide,Solide,sólido,Sólido,твердый
53,体,1,体,体,N,体 (图解:立方体),body(GI:cube),ボディー (図注:立方体),جسم,Corps,K?rper,Corpo,Cuerpo,тело
54,物,,物,物,N,"物 (图解:实心→实在,直角→明确)","substance(GI:Solid → real, right angle → clear)",物 (図注:ソリッド→リアル、直角→明確),مادة,Objet,substanz,substancia,Sustancia,вещество
55,液体,,液体,液体,N,液体 (图解:流动),liquid(GI:flow),液体 (図注:ながれ),سائل,Liquide,Flüssigkeit,líquido,líquido,жидкость
56,材料,,材料,材料,N,材料 (图解:整齐堆放的物品),material(GI:Neatly stacked items),材料 (図注:きちんと積み上げられた品物),لوازم,Matériaux,Material,material,Materiales,материал
57,部件,,部件,部件,N,部件 (图解:物品的一角),component(GI:A corner of the item),パーツ (図注:品物の片隅),مكون,Parties,komponente,Componente,Componente,компонент
58,其他,,其他,其他,N,其他 (图解:物在范围以外),other(GI:The object is outside the scope),その他 (図注:物が範囲外にある),آخر,Autre,andere,outro,Otros,другой
59,那,1,那,那,r,那 (图解:手指远处),that(GI:Fingers far away),それ (図注:指の遠く),ذلك,Que,dass,que,ese,тот
60,什么,1,什么,什么,N,什么 (图解:实心→代替物),what(GI:Solid → Substitute),何 (図注:ソリッド→代替物),ماذا,Qu'est - ce que,Was,o que,Qué,что
61,这,,这,这,R,这 (图解:手指近处),this(GI:Fingers nearby),これ (図注:指の近く),هذا,Ce,diese,esta,Este,этот
62,棍,,棍,棍,N,棍,rod,棒,عصا,Baton,Stange,Rod,Palo,палка
63,块,1,块,块,Q,"块 (图解:方形→固体,斜→自由形状)","lump(GI:Square → solid, oblique → free-form)",ブロック (図注:四角→固体、斜め→自由形状),فلذة,Bloc,Klumpen,Lump,El bloque,кусок
64,片,1,片,片,N,"片 (图解:方形→平,斜→薄)","slice(GI:Square → flat, oblique → thin)",フィルム (図注:四角→平、斜め→薄),شريحة,Feuille,Schnitte,fatia,Hoja,кусок
65,球,,球,球,N,球,ball,ボール,كرة,Balle,Ball,bola,La pelota,мяч
66,网,,网,网,N,网,net,ネットワーク,شبكة,Filet,Netz,Net,red,сеть
67,线,,线,线,N,线,Line,ライン, خط,Ligne,Linie,linha,Línea,линия
68,圆,1,(名词),圆,N,圆,circle,サークル,دائرة,Cercle,Kreis,círculo,Círculo,круг
69,日,1,天,日,N,日 (图解:太阳),day(GI:sun),日 (図注:太陽),يوم,jour,Tag,dia,Día,день
70,天空,,天空,天空,N,天空 (图解:地的上方),sky(GI:Above the ground),空は (図注:地の上),سماء,Ciel,Himmel,céu,Cielo,небо
71,月,1,月份,月,T,月 (图解:),month,月,شهر,Mois,Monat,mês,Mes,месяц
72,地,2,土地,地,N,地 (图解:地在下),ground(GI:The ground is below),土地 (図注:地の下),أرض,terrain,Erde,terra,suelo,земля
73,海,,海,海,N,海,sea(GI:Horizontal line → Sea level),海 (図注:横線→海面),بحر,Mer,Meer,mar,Mar,море
74,山,,山,山,N,山,mountain,マウンテン,جبل,Montagne,Berg,montanha,Monta?a,гора
75,雾,,雾,雾,N,雾 (图解:满天),fog(GI:all over the sky),霧 (図注:空いっぱい),ضباب,Brouillard,Nebel,névoa,Niebla,туман
76,波,,波,波,N,波,wave,ウェーブ,موج,Vague,Welle,onda,Ola,волна
77,氮,,氮,氮,N,氮 (图解:外围5个电子),nitrogen(GI:5 peripheral electronics),窒素 (図注:周辺5電子),نتروجين,Azote,Stickstoff,azoto,Nitrógeno,азот
78,电,1,电,电,N,电 (图解:闪电),electricity(GI:lightning),電気 (図注:稲妻),كهربائية,électrique,Strom,eletricidade,Eléctrico,электричество
79,钙,,钙,钙,N,钙 (图解:外围2个电子),calcium(GI:2 peripheral electronics),カルシウム (図注:周辺2電子),كلسيوم,Calcium,Kalzium,cálcio,Calcio,кальций
80,光,1,亮光,光,N,光 (图解:光芒),light(GI:rays of light),ライト (図注:光芒),ضوء,Lumière,Licht,luz,Luz,свет
81,氦,,氦,氦,N,氦 (图解:外围8个电子),helium(GI:8 peripheral electronics),ヘリウム (図注:周辺8個の電子),الهيليوم,hélium,Helium,hélio,helio,гелий
82,氢,,氢,氢,N,氢 (图解:外围1个电子),hydrogen(GI:1 electronic peripheral),水素 (図注:周辺1電子),هيدروجين,Hydrogène,Wasserstoff,hidrogênio,Hidrógeno,водород
83,粒子,,粒子,粒子,N,粒子 (图解:电子围绕),particle(GI:Electronic surround),パーティクル (図注:電子の周囲),جسيم,Particule,Teilchen,partícula,Partículas,частица
84,氯,,氯,氯,N,氯 (图解:外围7个电子),chlorine(GI:7 peripheral electronics),塩素 (図注:周辺7電子),كلور,Chlore,Chlor,cloro,Cloro,хлор
85,气,1,气体,气,N,"气 (图解:少→稀,斜→飘)","gas(GI:Less → sparse, inclined → floating)",ガス (図注:少ない→薄い、斜め→漂う),غاز,Gaz,Gas,O gás,Gas,газ
86,色,1,色,色,N,颜色 (图解:三元色),color(GI:three primary colors),色 (図注:さんげんしょく),لون,Couleur,Farbe,cor,Color,цвет
87,声音,,声音,声音,N,声音 (图解:耳+声波),sound(GI:Ear+sound waves),サウンド (図注:耳+音波),صوت,Voix,sound,som,Sonido,звук
88,水,1,水,水,N,水,water,水,ماء,Eau,Wasser,água,Agua,вода
89,碳,,碳,碳,N,碳 (图解:外围4个电子),carbon(GI:4 peripheral electronics),カーボン (図注:周辺4電子),كربون,De carbone,Kohlenstoff,carbono,Carbon,углерод
90,土,1,土,土,N,土 (图解:地下土块),soil(GI:Underground soil blocks),土 (図注:ちかど),تربة,le sol,boden,solo,Suelo,почва
91,味,,味,味,N,味 (图解:鼻嘴感受),taste(GI:Nose and mouth sensation),味 (図注:鼻と口の感覚),طعم,De go?t,Geschmack,Sabor,Sabor,вкус
92,氧,,氧,氧,N,氧 (图解:外围6个电子),oxygen(GI:6 peripheral electronics),酸素 (図注:周辺6電子),أكسجين,Oxygène,Sauerstoff,O oxigênio,Oxígeno,кислород
93,元素,2,(化学),元素,N,元素 (图解:外围电子数),element(GI:Peripheral electronic count),素子 (図注:ペリフェラル電子数),عنصر,élément,Element,elemento,Elemento,элемент
94,金,1,金,金,N,金 (图解:金子+元素),gold(GI:Gold+Elements),ゴールド (図注:金+元素),ذهب,Or,Gold,ouro,Oro,золото
95,金属,,金属,金属,N,金属 (图解:光滑+元素),metal(GI:Smooth+Elemental),金属 (図注:滑らか+要素),معدن,Métal,Metall,metal,Metal,металл
96,铝,,铝,铝,N,铝 (图解:外围3个电子),aluminum(GI:3 peripheral electronics),アルミニウム (図注:周辺3電子),ألومنيوم,Aluminium,Aluminium,De alumínio,Aluminio,алюминий
97,铁,1,铁,铁,N,铁 (图解:刀+元素),iron(GI:Knife+Element),鉄 (図注:ナイフ+要素),حديد,Fer,Eisen,ferro,Plancha,железо
98,石,1,石,石,N,石 (图解:地下硬块),stone(GI:Underground hard block),ストーン (図注:ちかかたまり),حجر,Pierre,Stein,pedra,Piedra,камень
99,玻璃,,玻璃,玻璃,N,玻璃,glass,ガラス, الزجاج ,verre,Glas,vidro,vidrio,стекло
100,机,1,机,机,N,机器 (图解:圆→旋转，方形→外壳),"machine(GI:Circle → Rotation, Square → Shell)",機械 (図注:円→回転、四角→ハウジング),آلة,Machine,Maschine,Máquina,Máquina,машина
101,具,1,工具,具,N,工具 (图解:扳手),tool(GI:wrench),ツール (図注:スパナ),أداة,outil,werkzeug,ferramenta,Herramienta,инструмент
102,房屋,,房屋,房屋,N,房屋,house,家屋,منزل ,Maisons,haus,casa,Casa,дом
103,墙,,墙,墙,N,墙 (图解:竖立),wall(GI:erect),ウォール (図注:たてる),جدار,Paroi,Wand,Parede de,Pared,стена
104,门,1,门,门,N,门,door,ドア, باب ,porte,Tür,porta,puerta,дверь
105,台,1,台子,台,N,台,platform,台,منصة,plate-forme,plattform,Plataforma,Plataforma,платформа
106,路,1,路,路,N,路,road,道,طريق,Route,Stra?e,estrada,Camino,дорога
107,包,2,包袱,包,N,包,bag,手荷物,حقيبة,sac,tasche,Saco,bolso,сумка
108,容器,,容器,容器,N,容器,container,コンテナ,حاوية,conteneur,Container,recipiente,recipiente,контейнер
109,服装,,服装,服装,N,服装,clothing?,衣類,زىّ,Vêtement,Kleidung,vestuário,Ropa,одежда
110,纸,,纸,纸,N,纸,paper,紙,ورق,Papier,Papier,Papel,Papel,бумага
111,酒,,酒,酒,N,酒 (图解:酒杯),liquor(GI:wine glass),ワイン (図注:杯),خمر,Vin,Wein,licor,Vino,алкоголь
112,盐,,盐,盐,N,盐 (图解:盐晶体),salt(GI:salt crystal),塩 (図注:えんけっしょう),ملح,Sel,Salz,sal,Sal,соль
113,油,,油,油,N,油,oil,オイル,زيت,Huile,?l,óleo,Aceite,масло
114,药,,药,药,N,药 (图解:药落病人嘴),medicine(GI:The medicine falls on the patient's mouth),薬 (図注:薬が患者の口に落ちる),دواء,Médicament,Medizin,medicina,La medicina,лекарство
115,毒,1,毒物,毒,N,毒物 (图解:骷髅),poison(GI:skeleton),毒物 (図注:どくろ),سم,poison,Gift,veneno,tóxico,отрава
116,单位,1,计量单位,单位,N,单位 (图解:方形→标准 圆→广泛用),unit(GI:Square → Standard Circle → Widely Used),測定単位 (図注:四角→標準円→広く使われる), وحدة  ,Unité,Einheit,unidades,unidades,единица
117,段,1,段,段,Q,段 (图解:分段),segment(GI:segmentation),段 (図注:セグメント化),قطعة,segment,Segment,segmento,Sección,отрезок
118,温度,,温度,温度,N,温度 (图解:温度计+数量),Temperature(GI:Temperature gauge+quantity),温度 (図注:温度計+数量),درجة حرارة,Température,Temperatur,temperatura,Temperatura,температура
119,重量,,重量,重量,N,重量 (图解:有刻度的称铊),weight(GI:Thallium with scales),重量 (図注:目盛り付きタリウム), وزن  ,Poids,Gewicht,peso,Peso,вес
120,数量,,数量,数量,N,数量 (图解:8进制数),amount(GI:8-base numbers),数量 (図注:8進数), عدد  ,Quantité,betrag,quantidade,Cantidad,количество
121,毫,1,千一,毫,M,毫 (图解:除以千),milli-(GI:Divide by a thousand),千 (図注:千で割る),ملي+,milli -,milli -,mili-,Cabello,милли-
122,千,,千,千,N,千,thousand,何千もの,ألف,Mille,tausend,mil,Mil,тысяча
123,十,,十,十,N,十 (图解:8+2),ten(GI:8+2),10 (図注:8+2),عشر,Dix,zehn,dez,Diez,десять
124,些,,些,些,N,些 (图解:数量+若干),some(GI:Quantity+Several),いくらか (図注:数量+数), بعض  ,Certains,einige,alguns,Un poco de,некоторые
125,兆,,兆,兆,N,兆 (图解:百万),million(GI:million),兆 (図注:百万),مليون,Zhao,millionen,milh?o,Millones,миллион
126,零,1,0,零,N,0,0,0,0,0,0,0,0,0
127,1,,1,1,spec,1,1,1,1,1,1,1,1,1
128,1A,,唯一的,1A,spec,唯一的 (图解:1的形容词),sole(GI:Adjectives for '1'),唯一の (図注:1の形容詞),باطن القدم,Unique,nur,único,único,единственный
129,2,,2,2,spec,2,2,2,2,2,2,2,2,2
130,2N,,双,2N,spec,双 (图解:2的名词),pair(GI:The noun '2'),ペア (図注:2の名詞),زوج,paire,Paar,par,par,пара
131,3,,3,3,spec,3,3,3,3,3,3,3,3,3
132,4,,4,4,spec,4,4,4,4,4,4,4,4,4
133,5,,5,5,spec,5,5,5,5,5,5,5,5,5
134,6,,6,6,spec,6,6,6,6,6,6,6,6,6
135,7,,7,7,spec,7,7,7,7,7,7,7,7,7
136,8,,8,8,spec,8,8,8,8,8,8,8,8,8
137,9,,9,9,spec,9 (图解:8+1),9(GI:8+1),9 (図注:8+1),9,9,9,9,9,9
138,百,,百,百,N,百,hundred,100, مائة,cent,hundert,cem,Cien,сто
139,半,,半,半,M,半,half,半分,نصف,moitié,H?lfte,metade,La mitad,половина
140,级,,级,级,N,级 (图解:台阶),grade(GI:step),級 (図注:ステップ),درجة,grade,Grad,grau,grado,ступень
141,例子,,例子,例子,N,例子 (图解:抽选1个例子上台展示),example(GI:Select one example to showcase on stage),例 (図注:抽選で1例を登壇),مثال,Exemple,Beispiel,exemplo,Ejemplo,пример
142,秘密,1,(名词),秘密,N,秘密 (图解:包围遮盖),secret(GI:Surrounding cover),秘密（名詞） (図注:包囲覆い),سر,Secret,Geheimnis,segredo,Secreto,секрет
143,事,,事,事,N,"事 (图解:弯→抽象,2→复杂)","thing(GI:Bend → Abstract, 2 → Complex)",もの (図注:曲がる→抽象的、2→複雑),شيء,Chose,Sache,coisa,Cosa,вещь
144,秘密A,,,,,秘密的 (图解:包围遮盖),secretive(GI:Surrounding cover),秘密の (図注:包囲覆い), سر ,Le secret,geheim,O segredo.,Secreto,Секретно.
145,秘密V,,,,,隐瞒 (图解:包围遮盖),conceal(GI:Surrounding cover),隠す (図注:包囲覆い),اخفى,cacher,verbergen,esconder,ocultar,скрывать
146,来源,,来源,来源,N,来源 (图解:河的源头),source(GI:The source of the river),来源 (図注:川の源流),مصدر,Source,Quelle,fonte,Fuente,источник
147,目的,,目的,目的,N,目的 (图解:靶心为目标),goal(GI:The bullseye is the target),目的 (図注:ターゲット),هدف,But,ziel,Objetivo,Propósito,цель
148,原理,,原理,原理,N,原理 (图解:文本+基础),principle(GI:Text+Fundamentals),原則 (図注:テキスト+基礎),مبدأ,Principe,Prinzip,princípio,Principio,принцип
149,方法,,方法,方法,N,"方法 (图解:扳手→工具,纸→抽象)","method(GI:Wrench → Tool, Paper → Abstract)",方法 (図注:スパナ→工具、紙→抽象),وسيلة,Méthode,Weg,Forma,El método de,способ
150,性,2,性,性,N,性 (图解:雄+雌),sex(GI:Male+Female),性 (図注:雄+雌),جنس,Sexe,Sex,sexo,Sexo,секс
151,信息,,信息,信息,N,信息 (图解:条码→多和传递),information(GI:Barcode → Multi sum Transmission),情報 (図注:バーコード→マルチサム転送),معلومات,Informations,Information,informa??es,Información,информация
152,生命,,生命,生命,N,"生命 (图解:草→生长,虚框→可变)","life(GI:Grass → growth, dashed frame → variable)",命 (図注:草→成長、虚枠→可変),حياة,La vie,Leben,vida,vida,жизнь
153,生命V,,,,,"生存 (图解:草→生长,虚框→可变)","exist(GI:Grass → growth, dashed frame → variable)",生き延びます (図注:草→成長、虚枠→可変),حيى,Survivre,überleben,Sobrevivência,Supervivencia,Выживание
154,运气,,运气,运气,N,运气 (图解:骰子落左或右),fate(GI:Dice drops to the left or right),運 (図注:サイコロが左か右に落ちる),مصير,Sort,Schicksal,destino,destino,судьба
155,灾难,,灾难,灾难,N,灾难 (图解:桥断→天灾人祸),disaster(GI:Bridge breakage → Natural and man-made disasters),災害 (図注:橋が切れる→天災人災),كارثة,Catastrophe,Katastrophe,desastre,Desastre,катастрофа
156,环境,,环境,环境,N,环境 (图解:周围情况),environment(GI:Surrounding situation),環境 (図注:周囲の状況),بيئة,environnement,Umwelt,meio Ambiente,Medio Ambiente,окружение
157,情况,,状况,情况,N,情况 (图解:眼睛观察周围),situation(GI:Observe the surroundings with your eyes),状況 (図注:目で周りを見る),حال,Situation,Situation,situa??o,Situación,ситуация
158,荣誉,,荣誉,荣誉,N,荣誉 (图解:脸面),honor(GI:face),名誉 (図注:に面),فخر,Honneur,Ehre,honra,honor,честь
159,形式,,形式,形式,N,"形式 (图解:方形角→形状,横线→格式)","form(GI:Square corner → shape, horizontal line → format)",フォーム (図注:四角→形状、横線→書式),صياغة,Forme,Form,formulário,forma,форма
160,式,2,公式,式,N,式 (图解:等号+分式线),formula(GI:Equal sign+fractional line),式 (図注:等号+分割線), صيغة  ,Formule,Formel,fórmula,Fórmula,формула
161,形状,,形状,形状,N,形状 (图解:方形四角→轮廓),shape(GI:Square corners → contour),形 (図注:四角→輪郭),شكل,Forme,form,forma,Forma,форма
162,性质,,性质,性质,N,"性质 (图解:三角→固有本质,圆→抽象)","property(GI:Triangle → Inherent Essence, Circle → Abstract)",性質 (図注:三角→固有の本質、円→抽象),صفة,Propriété,eigentum,atributo,Propiedad,характер
163,利益,,利益,利益,N,利益 (图解:手得到金蛋),benefit(GI:Hand gets golden egg),利益 (図注:金の卵を手に入れる),فائدة,avantage,Interessen,Benefício,beneficio,выгода
164,范围,,范围,范围,N,范围 (图解:点在范围内或外),scope(GI:The point is in or out of range. ),範囲 (図注:点が範囲内または範囲外),مجال,Portée,Anwendungsbereich,escopo,Alcance,сфера
165,系统,,系统,系统,N,系统 (图解:各部件串联),system(GI:Connect all components in series),システム (図注:各部品の直列接続),نظام,Système,System,sistema,Sistema,система
166,种类,,种类,种类,N,种类 (图解:方和圆是不同种类),kind(GI:Square and circle are different types),種類 (図注:方形と円は異なる種類である),نوع,Espèce,Art,espécies,Tipo,тип
167,方面,,方面,方面,N,方面 (图解:各领域),aspect(GI:Various fields),アスペクト (図注:各分野),جانب,Aspect,Aspekt,aspecto,Aspecto,аспект
168,秩序,,秩序,秩序,N,秩序 (图解:时间轴+队列),order(GI:Timeline+Queue),注文 (図注:タイムライン+キュー),ترتيب,Ordre,Ordnung,ordem,Orden,последовательность
169,秩序0,,,,,第 (图解:时间轴+队列),No.(GI:Timeline+Queue),第 (図注:タイムライン+キュー), رقم,Article,Artikel,artigo,Artículo,статья
170,机会,,机会,机会,N,机会 (图解:等机会进缝隙),opportunity(GI:Wait for the opportunity to enter the gap),機会 (図注:チャンスを待って隙間に入る),فرصة,Occasion,Gelegenheit,oportunidade,oportunidad,возможность
171,部分,1,(名词),部分,N,部分 (图解:整体的一角),part(GI:A corner of the whole),部分 (図注:全体の一角),جزء,Parties,Teil,Parte,parte,часть
172,成分,,成分,成分,N,成分 (图解:细块组建整体),ingredient(GI:Small blocks form a whole),成分 (図注:細いブロックが全体を構成する),مقوم,Ingrédient,Zutat,ingrediente,Ingrediente,ингредиент
173,基础,1,基础,基础,N,基础 (图解:下部稳固),basis(GI:Lower part stable),きそ (図注:下部安定),أساس,Fondement,Stiftung,Base,Fundamento,база
174,条件,,条件,条件,N,条件 (图解:条件符合开锁),condition(GI:Conditions meet for unlocking),コンディション (図注:条件適合ロック解除),شرط,condition,Zustand,condi??o,Condición,условие
175,程度,,程度,程度,N,程度 (图解:刻度尺),level(GI:a scale),学位 (図注:めもりゲージ),مستوى,Degré,Ebene,nível,Nivel,уровень
176,态度,,态度,态度,N,"态度 (图解:圆脸→表情,双手→对待他人)","attitude(GI:Round face → expression, hands → treating others)",態度 (図注:丸顔→表情、両手→他人への対応),موقف,Attitude,Haltung,atitude,Actitud,отношение
177,力,1,力,力,N,力 (图解:臂力),power(GI:arm strength),強制 (図注:腕力),قوة,Force,Macht,poder,Fuerza,сила
178,能量,,能量,能量,N,能量 (图解:电池),energy(GI:battery),エネルギー (図注:バッテリ),طاقة,énergie,Energie,energia,Energía,энергия
179,名,1,名,名,N,名 (图解:头+标志),name(GI:Head+logo),名前 (図注:ヘッダ+フラグ),اسم,Nom,Name,nome,Nombre,имя
180,智力,,智力,智力,N,智力 (图解:脑+能力),intelligence(GI:Brain+Ability),インテリジェンス (図注:脳+能力),ذكاء,intelligence,Intelligenz,inteligência,inteligencia,интеллект
181,道德,,道德,道德,N,道德 (图解:竖线→规则，头→思想),"morality(GI:Vertical line → Rules, Head → Ideas)",道徳 (図注:縦線→ルール、頭→思想),خلق,Morale,Moral,moralidade,moralidad,мораль
182,技术,,技术,技术,N,"技术 (图解:手→技巧,弧线→抽象 )","technology(GI:Hands → Techniques, Curves → Abstraction)",技術 (図注:手→テクニック、弧→抽象),تقنية,Technologie,geschick,habilidade,Tecnología,умение
